kecamatan,n_grid,mean_score,mean_road_km_per_km2,mean_building_density,mean_green_ratio,kategori
Purwokerto Timur,68,0.7687848016002807,22.351382998555863,1.3213580728154057,0.01158123634453672,Parah
Purwokerto Utara,56,0.6833191499654464,20.70759541391758,1.0980222887770437,0.008151984807166088,Parah
Purwokerto Barat,63,0.6330195456713512,19.11108218695488,0.9498099955919456,0.04689002825214096,Parah
Purwokerto Selatan,89,0.6101929841950632,16.70028502324379,0.8995218208892624,0.0989263333670191,Parah
Sokaraja,161,0.4078001039449176,8.21805336267414,0.47703930984283166,0.12246655909638618,Parah
Kembaran,140,0.40451603768081973,8.034489636589667,0.4346421175401476,0.0063018601065358395,Parah
Karanglewas,179,0.3072184550182487,6.577014551866355,0.35183761415150555,0.5948078327968468,Parah
Kalibagor,210,0.3071643552229201,4.714825430821193,0.3082524776427388,0.2765361091549543,Parah
Banyumas,210,0.29879626378430457,5.110546906698679,0.41179187838031395,0.655239294609504,Parah
Kemranjen,291,0.29325229294184124,4.030332955650877,0.35861035244681777,0.4472090469274682,Sedang
Kebasen,262,0.27689526783915186,6.955511722135519,0.3387818106737908,0.5664615313244623,Sedang
Sumbang,289,0.2743313309393843,3.879413549829676,0.24280013298861855,0.338804732528354,Sedang
Sumpiuh,297,0.2705198545346829,4.393089917110768,0.28762260128111655,0.5549346943829874,Sedang
Tambak,267,0.26863621036595337,3.129799877122475,0.2938453566497498,0.41913610038369115,Sedang
Patikraja,234,0.26091989731226095,4.868998466162721,0.23499896911829882,0.5895969585337446,Sedang
Somagede,227,0.25021464386591286,4.182369168074588,0.2881748826075532,0.7375190998522042,Sedang
Purwojati,210,0.24347792730362894,3.13060281208592,0.2537357100566453,0.5854275509444766,Sedang
Ajibarang,334,0.2334345377295482,2.812313072688466,0.24042000965047375,0.6147836479750237,Sedang
Jatilawang,236,0.22608880500069942,5.341590479935373,0.2200645818310454,0.6598249946745702,Normal
Wangon,342,0.21738598643971735,5.221498407532595,0.19017871679093223,0.6397718006748482,Normal
Baturraden,234,0.20595172728957675,3.6485230551141457,0.18628930476368402,0.8255212048957926,Normal
Kedungbanteng,280,0.19900204322428597,3.549681809611513,0.18120519598524812,0.8522881836836229,Normal
Pekuncen,405,0.19366771060380233,2.3495336712973116,0.14567198170374968,0.7161000768852331,Normal
Cilongok,625,0.1869183110898525,2.5357772748672076,0.15520058836191103,0.8346986797145831,Normal
Rawalo,263,0.18528066473402846,2.570714251000548,0.17826840164253677,0.9048352251768458,Normal
Gumelar,444,0.1714982528122156,1.6488686206748056,0.1246607953525396,0.8001345842858012,Normal
Lumbir,506,0.15918110711214162,1.3062611694893995,0.09305620546861287,0.8028961163525522,Normal
