kecamatan,Rendah,Sedang,Tinggi,total_grid,persen_rendah,persen_sedang,persen_tinggi,kategori_dominan,rasio_dominasi
Rawalo,104.0,6.0,4.0,114,91.23,5.26,3.51,Rendah,0.9122807017543859
Cilongok,222.0,24.0,7.0,253,87.75,9.49,2.77,Rendah,0.8774703557312253
Karanglewas,104.0,14.0,4.0,122,85.25,11.48,3.2800000000000002,Rendah,0.8524590163934426
Purwojati,93.0,10.0,9.0,112,83.04,8.93,8.04,Rendah,0.8303571428571429
Pekuncen,130.0,17.0,10.0,157,82.8,10.83,6.370000000000001,Rendah,0.8280254777070064
Lumbir,158.0,19.0,14.0,191,82.72,9.950000000000001,7.33,Rendah,0.8272251308900523
Gumelar,143.0,24.0,8.0,175,81.71000000000001,13.71,4.569999999999999,Rendah,0.8171428571428572
Kedungbanteng,121.0,22.0,6.0,149,81.21000000000001,14.77,4.03,Rendah,0.8120805369127517
Jatilawang,82.0,14.0,6.0,102,80.39,13.73,5.88,Rendah,0.803921568627451
Purwokerto Barat,36.0,5.0,4.0,45,80.0,11.110000000000001,8.89,Rendah,0.8
Ajibarang,124.0,22.0,10.0,156,79.49000000000001,14.099999999999998,6.41,Rendah,0.7948717948717948
Patikraja,95.0,21.0,7.0,123,77.24,17.07,5.6899999999999995,Rendah,0.7723577235772358
Purwokerto Selatan,47.0,8.0,6.0,61,77.05,13.11,9.84,Rendah,0.7704918032786885
Wangon,115.0,21.0,14.0,150,76.67,14.000000000000002,9.33,Rendah,0.7666666666666667
Kemranjen,85.0,19.0,12.0,116,73.28,16.38,10.34,Rendah,0.7327586206896551
Purwokerto Utara,34.0,14.0,2.0,50,68.0,28.000000000000004,4.0,Rendah,0.68
Kebasen,77.0,30.0,10.0,117,65.81,25.64,8.55,Rendah,0.6581196581196581
Baturraden,76.0,26.0,18.0,120,63.33,21.67,15.0,Rendah,0.6333333333333333
Purwokerto Timur,33.0,17.0,3.0,53,62.260000000000005,32.08,5.66,Rendah,0.6226415094339622
Tambak,64.0,27.0,16.0,107,59.809999999999995,25.230000000000004,14.95,Rendah,0.5981308411214953
Kembaran,41.0,24.0,7.0,72,56.940000000000005,33.33,9.719999999999999,Rendah,0.5694444444444444
Sumpiuh,74.0,39.0,17.0,130,56.92,30.0,13.08,Rendah,0.5692307692307692
Sokaraja,47.0,23.0,16.0,86,54.65,26.740000000000002,18.6,Rendah,0.5465116279069767
Sumbang,67.0,40.0,18.0,125,53.6,32.0,14.399999999999999,Rendah,0.536
Banyumas,57.0,38.0,13.0,108,52.78,35.19,12.04,Rendah,0.5277777777777778
Somagede,47.0,38.0,22.0,107,43.93,35.510000000000005,20.560000000000002,Rendah,0.4392523364485981
Kalibagor,40.0,38.0,28.0,106,37.74,35.85,26.419999999999998,Rendah,0.37735849056603776
